Stock market rally | hit | fresh highs
Intel (INTC) | announced | CEO Pat Gelsinger retirement
Board dissatisfaction | caused | ouster
Gelsinger ouster | raised | strategic questions

Eli Lilly (LLY) | reported | Zepbound stoked greater weight loss than Wegovy
Zepbound | caused | 20.2% weight loss
Wegovy | caused | 13.7% weight loss
Participants | lost | up to 20.2% weight


NCino (NCNO) | reported | 50% EPS gain
NCino | revenue rose | 14%
Weak guidance | caused | share plunge
Chewy (CHWY) | reported | 33% EPS gain
Chewy | revenue rose | 4.8%
Chewy | missed | estimates
Active customers | declined | year-over-year
CHWY stock | fell | solidly

Donald Trump | tapped | Jared Isaacman to lead NASA
Isaacman | is | private astronaut
Shift4 | competes | with Clover, Square, and Toast
Weak payment guidance | caused | Toast shares to plunge
Palantir (PLTR) | received | higher FedRAMP authorization
Higher rating | enabled | U.S. government to process sensitive workloads
Palantir | partnered with | Booz Allen Hamilton
Partnership | strengthened | government collaboration
PLTR shares | soared | for the week
Foot Locker (FL) | reported | 10% EPS gain
Foot Locker | sales fell | 1%
Foot Locker | cut | guidance
Kroger (KR) | earnings rose | 3%
Kroger | sales fell | 1%
Uncertain macroeconomic environment | concerned | CEO McMullen
FTC lawsuit | cast doubt on | Albertsons merger
Kroger stock | reversed higher | on earnings
Pure Storage (PSTG) | beat | earnings and sales views
Pure Storage | achieved | first-ever design win
Top-four cloud hyperscaler | adopted | flash memory technology
Pure Storage shares | soared | NONE
Veeva Systems (VEEV) | reported | 31% EPS growth
Veeva | sales advanced | 13%
Veeva | raised | full-year outlook
Subscription services | drove | majority of revenue
Veeva shares | jumped | NONE

HPE | reported | 12% earnings rise
HPE | revenue climbed | 15%
AI server revenue | rose | from $400M to $1.5B
HPE shares | rose | slightly

Box (BOX) | reported | 45% EPS gain
Box | sales advanced | 5%
Box | missed | billings expectations
Box shares | tumbled | NONE

Samsara (IOT) | doubled | Q3 EPS
Samsara | revenue rose | 36%
Samsara | beat | analyst estimates
ARR from subscriptions | rose | 35%
IOT | guided | fractionally lower revenue
IOT stock | plunged | NONE
